abbrev,name,opioid_cat,opioid_type,race_eth,race_cat,deaths,obs_rate,model_rate,apc_print,apc_pval,doubling_time
MT,Montana,Multiple opioids,poly_opioid,total,Total,11,1.1,0.8,"4 (0, 8)",0.06,"26.1 (-499.5, 12.7)"
Nassau County (NY),Nassau County,Multiple opioids,poly_opioid,total,Total,84,6.3,6.5,"21 (18, 25)",<.001,"5.2 (6.0, 4.5)"
NC,North Carolina,Multiple opioids,poly_opioid,total,Total,546,5.5,5.6,"-2 (-12, 9)",0.67,"-49.5 (-8.1, 12.1)"
ND,North Dakota,Multiple opioids,poly_opioid,total,Total,<11,"NA",1.0,"4 (0, 9)",0.05,"23.8 (Inf, 12.0)"
NE,Nebraska,Multiple opioids,poly_opioid,total,Total,17,0.9,0.8,"10 (6, 14)",<.001,"10.9 (17.7, 7.8)"
New Castle County (DE),New Castle County,Multiple opioids,poly_opioid,total,Total,89,16.1,19.2,"5 (-18, 35)",0.66,"19.4 (-5.2, 3.4)"
New Haven County (CT),New Haven County,Multiple opioids,poly_opioid,total,Total,174,20.3,19.2,"17 (2, 34)",0.03,"6.4 (56.1, 3.4)"
New York County (NY),New York County,Multiple opioids,poly_opioid,total,Total,143,7.6,8.4,"34 (25, 44)",<.001,"3.4 (4.4, 2.7)"
NH,New Hampshire,Multiple opioids,poly_opioid,total,Total,31,2.4,2.1,"-24 (-32, -15)",<.001,"-3.6 (-2.6, -6.2)"
NJ,New Jersey,Multiple opioids,poly_opioid,total,Total,"1,111",12.6,14.2,"10 (-12, 37)",0.37,"10.6 (-7.8, 3.2)"
NM,New Mexico,Multiple opioids,poly_opioid,total,Total,115,5.8,4.8,"11 (8, 14)",<.001,"9.5 (13.0, 7.5)"
Norfolk city (VA),Norfolk city,Multiple opioids,poly_opioid,total,Total,24,9.7,12.1,"23 (16, 30)",<.001,"4.8 (6.5, 3.8)"
NV,Nevada,Multiple opioids,poly_opioid,total,Total,71,2.2,2.0,"2 (0, 4)",0.02,"44.0 (250.5, 23.8)"
NY,New York,Multiple opioids,poly_opioid,total,Total,"1,369",6.9,7.2,"7 (-1, 16)",0.08,"14.0 (-110.6, 6.6)"
Oakland County (MI),Oakland County,Multiple opioids,poly_opioid,total,Total,<11,"NA",1.9,"18 (11, 26)",<.001,"5.9 (9.7, 4.3)"
OH,Ohio,Multiple opioids,poly_opioid,total,Total,698,6.4,6.7,"-16 (-24, -9)",<.01,"-5.5 (-3.7, -10.9)"
OK,Oklahoma,Multiple opioids,poly_opioid,total,Total,27,0.7,0.8,"-7 (-11, -3)",<.01,"-13.8 (-8.5, -38.0)"
Oklahoma County (OK),Oklahoma County,Multiple opioids,poly_opioid,total,Total,<11,"NA",0.5,"-11 (-20, -1)",0.03,"-8.5 (-4.5, -99.5)"
OR,Oregon,Multiple opioids,poly_opioid,total,Total,83,1.9,2.3,"26 (-3, 63)",0.07,"4.3 (-38.0, 2.0)"
Orange County (FL),Orange County,Multiple opioids,poly_opioid,total,Total,46,3.2,3.4,"12 (9, 15)",<.001,"8.8 (11.4, 7.2)"
PA,Pennsylvania,Multiple opioids,poly_opioid,total,Total,"1,044",8.7,9.4,"14 (6, 24)",<.01,"7.5 (18.7, 4.7)"
Palm Beach County (FL),Palm Beach County,Multiple opioids,poly_opioid,total,Total,128,9.7,9.7,"21 (-2, 50)",0.07,"5.2 (-58.3, 2.5)"
Philadelphia County (PA),Philadelphia County,Multiple opioids,poly_opioid,total,Total,218,13.5,16.7,"50 (31, 72)",<.001,"2.5 (3.7, 1.8)"
Pulaski County (AR),Pulaski County,Multiple opioids,poly_opioid,total,Total,11,2.7,2.0,"5 (1, 10)",0.01,"19.0 (77.4, 10.8)"
Queens County (NY),Queens County,Multiple opioids,poly_opioid,total,Total,97,4.0,4.1,"4 (-21, 37)",0.77,"26.8 (-4.2, 3.2)"
RI,Rhode Island,Multiple opioids,poly_opioid,total,Total,52,5.2,5.6,"-9 (-26, 11)",0.32,"-10.4 (-3.4, 9.7)"
Richland County (SC),Richland County,Multiple opioids,poly_opioid,total,Total,11,2.8,3.2,"20 (14, 26)",<.001,"5.6 (7.9, 4.3)"
Riverside County (CA),Riverside County,Multiple opioids,poly_opioid,total,Total,41,1.7,1.8,"185 (77, 360)",<.001,"1.0 (1.7, 0.7)"
Sacramento County (CA),Sacramento County,Multiple opioids,poly_opioid,total,Total,20,1.2,0.7,"1 (-3, 6)",0.58,"91.4 (-32.8, 18.7)"
San Bernardino County (CA),San Bernardino County,Multiple opioids,poly_opioid,total,Total,14,0.7,0.7,"54 (7, 120)",0.02,"2.3 (14.0, 1.3)"
San Diego County (CA),San Diego County,Multiple opioids,poly_opioid,total,Total,51,1.5,1.5,"11 (-2, 26)",0.10,"9.6 (-43.0, 4.3)"
SC,South Carolina,Multiple opioids,poly_opioid,total,Total,270,5.6,5.9,"21 (7, 36)",<.01,"5.3 (14.2, 3.3)"
SD,South Dakota,Multiple opioids,poly_opioid,total,Total,<11,"NA",0.5,"4 (-2, 10)",0.22,"28.3 (-43.0, 10.5)"
Shelby County (TN),Shelby County,Multiple opioids,poly_opioid,total,Total,67,7.3,6.9,"4 (-10, 19)",0.60,"28.3 (-9.6, 5.7)"
St. Louis city (MO),St. Louis city,Multiple opioids,poly_opioid,total,Total,61,18.4,23.2,"20 (16, 25)",<.001,"5.4 (6.9, 4.5)"
St. Louis County (MO),St. Louis County,Multiple opioids,poly_opioid,total,Total,94,10.2,15.4,"39 (25, 56)",<.001,"3.0 (4.5, 2.3)"
Suffolk County (MA),Suffolk County,Multiple opioids,poly_opioid,total,Total,45,5.1,5.1,"-26 (-43, -2)",0.03,"-3.4 (-1.8, -41.2)"
Suffolk County (NY),Suffolk County,Multiple opioids,poly_opioid,total,Total,93,6.7,7.3,"-28 (-48, -1)",0.04,"-3.0 (-1.5, -110.6)"
Tarrant County (TX),Tarrant County,Multiple opioids,poly_opioid,total,Total,<11,"NA",0.3,"-13 (-33, 12)",0.24,"-7.0 (-2.5, 9.2)"
TN,Tennessee,Multiple opioids,poly_opioid,total,Total,493,7.6,7.7,"22 (4, 44)",0.02,"5.0 (29.1, 2.7)"
TX,Texas,Multiple opioids,poly_opioid,total,Total,250,0.9,0.9,"16 (10, 21)",<.001,"6.9 (10.0, 5.2)"
Union County (NJ),Union County,Multiple opioids,poly_opioid,total,Total,57,10.0,11.7,"0 (-22, 27)",0.98,"-499.5 (-4.1, 4.2)"
UT,Utah,Multiple opioids,poly_opioid,total,Total,114,3.8,3.7,"-8 (-14, 0)",0.04,"-12.5 (-6.4, -249.5)"
VA,Virginia,Multiple opioids,poly_opioid,total,Total,556,6.6,6.4,"-1 (-20, 23)",0.93,"-110.6 (-4.5, 4.9)"
VT,Vermont,Multiple opioids,poly_opioid,total,Total,52,9.4,12.7,"32 (19, 47)",<.001,"3.6 (5.7, 2.6)"
WA,Washington,Multiple opioids,poly_opioid,total,Total,239,3.0,3.3,"3 (1, 6)",0.02,"29.9 (143.4, 16.6)"
Wake County (NC),Wake County,Multiple opioids,poly_opioid,total,Total,28,2.5,2.7,"-5 (-20, 12)",0.50,"-18.4 (-4.4, 8.6)"
Wayne County (MI),Wayne County,Multiple opioids,poly_opioid,total,Total,226,12.4,13.8,"1 (-8, 11)",0.82,"100.5 (-11.5, 9.3)"
Westchester County (NY),Westchester County,Multiple opioids,poly_opioid,total,Total,35,3.9,4.5,"-19 (-39, 7)",0.12,"-4.7 (-2.0, 15.4)"
WI,Wisconsin,Multiple opioids,poly_opioid,total,Total,302,5.4,5.3,"-3 (-23, 22)",0.75,"-29.8 (-3.8, 5.1)"
WV,West Virginia,Multiple opioids,poly_opioid,total,Total,205,12.6,18.9,"15 (12, 18)",<.001,"7.1 (8.8, 6.0)"
WY,Wyoming,Multiple opioids,poly_opioid,total,Total,<11,"NA",1.5,"7 (4, 11)",<.01,"14.0 (29.1, 9.3)"
Adams County (CO),Adams County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",3.5,"78 (-20, 297)",0.14,"1.7 (-4.5, 0.7)"
AL,Alabama,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",0.6,"-12 (-24, 1)",0.07,"-7.6 (-3.6, 77.4)"
Alameda County (CA),Alameda County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",1.3,"2 (-2, 6)",0.35,"53.1 (-45.0, 16.9)"
Allegheny County (PA),Allegheny County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",4.2,"-2 (-7, 4)",0.58,"-66.2 (-13.6, 23.8)"
AZ,Arizona,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",2.8,"9 (2, 15)",<.01,"12.0 (42.2, 7.0)"
Baltimore city (MD),Baltimore city,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",0.5,"-63 (-79, -36)",<.01,"-1.0 (-0.6, -2.2)"
Baltimore County (MD),Baltimore County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",0.1,"-77 (-96, 26)",0.08,"-0.7 (-0.3, 4.3)"
Bexar County (TX),Bexar County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",3.7,"8 (1, 14)",0.02,"13.5 (77.4, 7.4)"
Bronx County (NY),Bronx County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",1.1,"-12 (-24, 3)",0.11,"-8.0 (-3.6, 32.8)"
CA,California,Heroin alone,single_heroin,nhb,Non-Hispanic Black,49,1.9,2.1,"35 (13, 61)",<.01,"3.4 (8.2, 2.1)"
Charleston County (SC),Charleston County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",2.3,"11 (3, 21)",0.01,"9.3 (37.5, 5.3)"
Clark County (NV),Clark County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",1.6,"0 (-4, 5)",0.92,"500.5 (-24.5, 22.2)"
CO,Colorado,Heroin alone,single_heroin,nhb,Non-Hispanic Black,12,4.7,4.3,"76 (2, 206)",0.04,"1.8 (59.3, 0.9)"
Contra Costa County (CA),Contra Costa County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",1.1,"7 (1, 14)",0.02,"14.2 (91.4, 7.7)"
Cook County (IL),Cook County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,43,3.3,3.9,"-18 (-29, -4)",0.01,"-5.1 (-2.9, -22.8)"
CT,Connecticut,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",1.1,"-34 (-59, 6)",0.08,"-2.4 (-1.1, 16.1)"
Cuyahoga County (OH),Cuyahoga County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",0.9,"-28 (-45, -4)",0.03,"-3.1 (-1.7, -23.3)"
Dallas County (TX),Dallas County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,21,3.1,2.3,"3 (0, 6)",0.05,"31.7 (Inf, 16.1)"
Davidson County (TN),Davidson County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",1.8,"-31 (-80, 133)",0.53,"-2.7 (-0.6, 1.2)"
DC,District of Columbia,Heroin alone,single_heroin,nhb,Non-Hispanic Black,11,2.9,2.5,"-31 (-50, -5)",0.03,"-2.7 (-1.4, -18.7)"
DE,Delaware,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",1.7,"0 (-5, 6)",0.91,"333.8 (-20.3, 18.4)"
District of Columbia (DC),District of Columbia,Heroin alone,single_heroin,nhb,Non-Hispanic Black,11,2.9,2.5,"-31 (-50, -5)",0.03,"-2.7 (-1.4, -18.7)"
Durham County (NC),Durham County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",1.6,"-6 (-19, 9)",0.41,"-17.0 (-4.9, 11.2)"
Erie County (NY),Erie County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",1.2,"0 (-5, 6)",0.89,"250.5 (-19.9, 17.4)"
Essex County (NJ),Essex County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",4.6,"1 (-4, 6)",0.75,"111.6 (-21.7, 15.9)"
Fairfax County (VA),Fairfax County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",0.1,"-79 (-99, 290)",0.28,"-0.6 (-0.2, 0.7)"
FL,Florida,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",0.2,"-13 (-31, 9)",0.19,"-7.1 (-2.7, 12.1)"
Franklin County (OH),Franklin County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",0.4,"-45 (-68, -5)",0.03,"-1.7 (-0.9, -18.0)"
Fulton County (GA),Fulton County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",1.8,"13 (6, 20)",<.001,"8.2 (16.1, 5.5)"
GA,Georgia,Heroin alone,single_heroin,nhb,Non-Hispanic Black,33,1.0,1.0,"22 (17, 26)",<.001,"5.1 (6.3, 4.3)"
Guilford County (NC),Guilford County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",1.4,"9 (3, 15)",<.01,"11.5 (31.7, 7.0)"
Hamilton County (OH),Hamilton County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",6.3,"8 (0, 16)",0.06,"13.8 (-499.5, 6.8)"
Harris County (TX),Harris County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,16,1.8,1.9,"53 (17, 98)",<.01,"2.4 (6.2, 1.5)"
Hartford County (CT),Hartford County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",2.5,"2 (-5, 9)",0.60,"59.3 (-20.3, 12.1)"
IA,Iowa,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",4.8,"11 (2, 20)",0.01,"9.7 (40.5, 5.5)"
IL,Illinois,Heroin alone,single_heroin,nhb,Non-Hispanic Black,55,2.9,3.6,"-17 (-27, -6)",<.01,"-5.2 (-3.2, -14.9)"
IN,Indiana,Heroin alone,single_heroin,nhb,Non-Hispanic Black,12,1.7,2.0,"2 (-4, 10)",0.48,"42.2 (-21.7, 10.6)"
Jefferson County (KY),Jefferson County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",1.3,"-18 (-40, 12)",0.20,"-5.1 (-2.0, 8.7)"
Jefferson Parish (LA),Jefferson Parish,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",6.2,"19 (12, 27)",<.001,"5.7 (9.0, 4.1)"
King County (WA),King County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",1.0,"5 (-2, 12)",0.14,"20.9 (-55.1, 8.8)"
Kings County (NY),Kings County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,12,1.4,1.4,"13 (7, 20)",<.001,"8.1 (15.2, 5.5)"
KY,Kentucky,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",0.7,"-26 (-39, -11)",<.01,"-3.3 (-2.1, -8.5)"
LA,Louisiana,Heroin alone,single_heroin,nhb,Non-Hispanic Black,16,1.1,1.2,"-10 (-39, 33)",0.58,"-9.6 (-2.0, 3.5)"
Lake County (IN),Lake County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",4.3,"14 (6, 22)",<.01,"7.8 (18.7, 5.0)"
Los Angeles County (CA),Los Angeles County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,15,1.7,1.6,"39 (4, 85)",0.03,"3.1 (24.9, 1.6)"
MA,Massachusetts,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",0.2,"-55 (-69, -34)",<.001,"-1.3 (-0.9, -2.4)"
Maricopa County (AZ),Maricopa County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",2.9,"8 (1, 15)",0.02,"13.0 (83.8, 7.0)"
Marion County (IN),Marion County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",1.9,"-2 (-8, 4)",0.46,"-45.0 (-12.2, 26.1)"
MD,Maryland,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",0.2,"-62 (-78, -37)",<.01,"-1.0 (-0.7, -2.2)"
Mecklenburg County (NC),Mecklenburg County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",0.8,"-17 (-37, 8)",0.15,"-5.3 (-2.2, 13.3)"
MI,Michigan,Heroin alone,single_heroin,nhb,Non-Hispanic Black,15,1.0,0.9,"-38 (-64, 6)",0.07,"-2.1 (-1.0, 18.7)"
Miami-Dade County (FL),Miami-Dade County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",0.3,"-6 (-10, -2)",<.01,"-16.4 (-10.0, -43.0)"
Milwaukee County (WI),Milwaukee County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",6.7,"8 (3, 15)",<.01,"12.3 (39.0, 7.2)"
MN,Minnesota,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",2.1,"-16 (-28, -1)",0.04,"-5.9 (-3.0, -82.8)"
MO,Missouri,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",0.8,"-55 (-78, -7)",0.03,"-1.3 (-0.7, -14.0)"
Montgomery County (MD),Montgomery County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",0.2,"-54 (-73, -20)",<.01,"-1.3 (-0.8, -4.4)"
Montgomery County (OH),Montgomery County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",0.3,"-52 (-84, 44)",0.17,"-1.4 (-0.6, 2.7)"
NC,North Carolina,Heroin alone,single_heroin,nhb,Non-Hispanic Black,20,0.8,0.7,"-11 (-29, 12)",0.30,"-8.7 (-2.9, 8.6)"
New Haven County (CT),New Haven County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",3.4,"6 (-3, 14)",0.18,"18.7 (-36.5, 7.5)"
New York County (NY),New York County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",3.4,"8 (3, 14)",<.01,"12.5 (37.5, 7.5)"
NJ,New Jersey,Heroin alone,single_heroin,nhb,Non-Hispanic Black,19,1.4,1.2,"-35 (-66, 26)",0.19,"-2.3 (-0.9, 4.3)"
Norfolk city (VA),Norfolk city,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",3.3,"5 (-7, 19)",0.38,"19.4 (-14.6, 5.8)"
NV,Nevada,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",1.9,"2 (-2, 6)",0.32,"48.1 (-47.1, 15.9)"
NY,New York,Heroin alone,single_heroin,nhb,Non-Hispanic Black,28,0.9,0.8,"-21 (-34, -5)",0.02,"-4.3 (-2.4, -19.9)"
OH,Ohio,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",0.5,"-46 (-58, -30)",<.001,"-1.6 (-1.1, -2.8)"
OK,Oklahoma,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",0.5,"-30 (-64, 35)",0.26,"-2.8 (-1.0, 3.3)"
OR,Oregon,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",5.1,"7 (0, 15)",0.06,"15.2 (-249.5, 7.3)"
Orleans Parish (LA),Orleans Parish,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",2.3,"-15 (-31, 5)",0.12,"-6.3 (-2.7, 19.7)"
PA,Pennsylvania,Heroin alone,single_heroin,nhb,Non-Hispanic Black,15,1.0,0.8,"-20 (-36, 2)",0.07,"-4.6 (-2.2, 53.1)"
Philadelphia County (PA),Philadelphia County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",1.1,"18 (11, 27)",<.001,"5.9 (9.9, 4.2)"
Queens County (NY),Queens County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",0.6,"-12 (-24, 1)",0.06,"-7.6 (-3.7, 143.4)"
Riverside County (CA),Riverside County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",1.0,"-4 (-11, 4)",0.26,"-23.9 (-8.3, 28.3)"
San Diego County (CA),San Diego County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",3.8,"12 (5, 20)",<.01,"8.5 (20.1, 5.4)"
SC,South Carolina,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",0.5,"5 (1, 10)",0.03,"20.5 (143.4, 10.9)"
Shelby County (TN),Shelby County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",0.7,"-20 (-30, -9)",<.01,"-4.5 (-2.8, -10.5)"
St. Louis city (MO),St. Louis city,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",1.2,"-62 (-82, -16)",0.02,"-1.0 (-0.6, -5.7)"
St. Louis County (MO),St. Louis County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",0.4,"-67 (-89, 1)",0.05,"-0.9 (-0.4, 77.4)"
Suffolk County (MA),Suffolk County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",2.9,"11 (0, 23)",0.05,"9.7 (1000.5, 4.8)"
Suffolk County (NY),Suffolk County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",3.2,"14 (3, 26)",0.01,"7.8 (36.2, 4.4)"
Tarrant County (TX),Tarrant County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",1.5,"2 (-2, 7)",0.37,"50.5 (-39.5, 15.4)"
TN,Tennessee,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",0.9,"-20 (-28, -10)",<.01,"-4.6 (-3.0, -9.8)"
TX,Texas,Heroin alone,single_heroin,nhb,Non-Hispanic Black,53,1.4,1.2,"10 (6, 14)",<.001,"10.8 (18.4, 7.6)"
Union County (NJ),Union County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",1.7,"1 (-6, 8)",0.80,"111.6 (-15.9, 12.5)"
VA,Virginia,Heroin alone,single_heroin,nhb,Non-Hispanic Black,25,1.4,1.6,"2 (0, 4)",0.10,"63.0 (-332.8, 28.3)"
WA,Washington,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",1.8,"6 (1, 10)",0.01,"18.0 (77.4, 10.3)"
Wayne County (MI),Wayne County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",1.4,"-28 (-48, 0)",0.05,"-3.1 (-1.5, 500.5)"
Westchester County (NY),Westchester County,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",1.0,"-6 (-16, 4)",0.23,"-15.9 (-5.9, 23.2)"
WI,Wisconsin,Heroin alone,single_heroin,nhb,Non-Hispanic Black,14,4.4,4.1,"-12 (-21, -2)",0.02,"-8.0 (-4.3, -52.1)"
WV,West Virginia,Heroin alone,single_heroin,nhb,Non-Hispanic Black,<11,"NA",0.4,"-61 (-85, 3)",0.06,"-1.1 (-0.5, 31.7)"
Adams County (CO),Adams County,Heroin alone,single_heroin,nhw,Non-Hispanic White,65,2.9,2.9,"-6 (-20, 10)",0.39,"-15.4 (-4.5, 10.8)"
AK,Alaska,Heroin alone,single_heroin,nhw,Non-Hispanic White,11,2.4,2.8,"10 (4, 16)",<.01,"11.0 (26.8, 6.9)"
AL,Alabama,Heroin alone,single_heroin,nhw,Non-Hispanic White,59,2.0,2.3,"-2 (-10, 6)",0.56,"-43.0 (-9.3, 16.4)"
Alameda County (CA),Alameda County,Heroin alone,single_heroin,nhw,Non-Hispanic White,13,2.2,1.8,"32 (16, 50)",<.001,"3.6 (6.6, 2.5)"
Allegheny County (PA),Allegheny County,Heroin alone,single_heroin,nhw,Non-Hispanic White,<11,"NA",0.7,"-53 (-69, -27)",<.01,"-1.3 (-0.8, -3.2)"
AR,Arkansas,Heroin alone,single_heroin,nhw,Non-Hispanic White,11,0.5,0.6,"19 (13, 25)",<.001,"5.7 (8.0, 4.5)"
AZ,Arizona,Heroin alone,single_heroin,nhw,Non-Hispanic White,149,4.1,4.3,"-1 (-18, 18)",0.86,"-70.9 (-5.2, 6.1)"
Baltimore city (MD),Baltimore city,Heroin alone,single_heroin,nhw,Non-Hispanic White,<11,"NA",0.1,"-75 (-98, 232)",0.27,"-0.7 (-0.3, 0.8)"
Baltimore County (MD),Baltimore County,Heroin alone,single_heroin,nhw,Non-Hispanic White,<11,"NA",0.7,"-49 (-60, -35)",<.001,"-1.5 (-1.1, -2.3)"
Bexar County (TX),Bexar County,Heroin alone,single_heroin,nhw,Non-Hispanic White,19,3.9,3.7,"5 (2, 8)",<.01,"20.9 (59.3, 12.8)"
Bronx County (NY),Bronx County,Heroin alone,single_heroin,nhw,Non-Hispanic White,<11,"NA",3.2,"-23 (-43, 4)",0.08,"-3.8 (-1.8, 27.5)"
Broward County (FL),Broward County,Heroin alone,single_heroin,nhw,Non-Hispanic White,11,2.0,1.7,"-35 (-55, -7)",0.02,"-2.3 (-1.3, -13.4)"
CA,California,Heroin alone,single_heroin,nhw,Non-Hispanic White,384,2.5,2.7,"13 (10, 16)",<.001,"8.1 (10.1, 6.7)"
Charleston County (SC),Charleston County,Heroin alone,single_heroin,nhw,Non-Hispanic White,<11,"NA",1.0,"-45 (-63, -19)",<.01,"-1.7 (-1.0, -4.7)"
Clark County (NV),Clark County,Heroin alone,single_heroin,nhw,Non-Hispanic White,50,5.0,6.0,"14 (8, 21)",<.001,"7.4 (12.7, 5.2)"
CO,Colorado,Heroin alone,single_heroin,nhw,Non-Hispanic White,124,3.0,3.1,"-6 (-19, 9)",0.37,"-15.6 (-4.6, 11.5)"
Cobb County (GA),Cobb County,Heroin alone,single_heroin,nhw,Non-Hispanic White,12,3.6,3.4,"-20 (-29, -9)",<.01,"-4.5 (-2.9, -10.4)"
Contra Costa County (CA),Contra Costa County,Heroin alone,single_heroin,nhw,Non-Hispanic White,<11,"NA",1.7,"8 (3, 13)",<.01,"13.2 (33.8, 8.2)"
Cook County (IL),Cook County,Heroin alone,single_heroin,nhw,Non-Hispanic White,43,1.9,1.7,"-43 (-51, -35)",<.001,"-1.8 (-1.4, -2.3)"
CT,Connecticut,Heroin alone,single_heroin,nhw,Non-Hispanic White,27,1.2,1.3,"-42 (-52, -30)",<.001,"-1.9 (-1.4, -2.9)"
Cumberland County (NC),Cumberland County,Heroin alone,single_heroin,nhw,Non-Hispanic White,<11,"NA",8.5,"16 (8, 23)",<.001,"6.9 (12.7, 4.8)"
Cuyahoga County (OH),Cuyahoga County,Heroin alone,single_heroin,nhw,Non-Hispanic White,<11,"NA",0.2,"-71 (-86, -38)",<.01,"-0.8 (-0.5, -2.1)"
Dallas County (TX),Dallas County,Heroin alone,single_heroin,nhw,Non-Hispanic White,41,5.0,5.8,"5 (3, 7)",<.001,"20.5 (39.0, 14.0)"
Davidson County (TN),Davidson County,Heroin alone,single_heroin,nhw,Non-Hispanic White,19,4.1,4.1,"-21 (-31, -10)",<.01,"-4.2 (-2.7, -9.0)"
DC,District of Columbia,Heroin alone,single_heroin,nhw,Non-Hispanic White,<11,"NA",1.4,"4 (-3, 12)",0.21,"22.7 (-38.0, 8.7)"
DE,Delaware,Heroin alone,single_heroin,nhw,Non-Hispanic White,<11,"NA",1.4,"-36 (-48, -21)",<.001,"-2.2 (-1.5, -4.2)"
DeKalb County (GA),DeKalb County,Heroin alone,single_heroin,nhw,Non-Hispanic White,<11,"NA",3.0,"-13 (-33, 12)",0.25,"-7.0 (-2.5, 9.0)"
Delaware County (PA),Delaware County,Heroin alone,single_heroin,nhw,Non-Hispanic White,<11,"NA",0.8,"-50 (-78, 15)",0.10,"-1.4 (-0.7, 7.2)"
District of Columbia (DC),District of Columbia,Heroin alone,single_heroin,nhw,Non-Hispanic White,<11,"NA",1.4,"4 (-3, 12)",0.21,"22.7 (-38.0, 8.7)"
