abbrev,name,opioid_cat,opioid_type,race_eth,race_cat,deaths,obs_rate,model_rate,apc,apc_lower,apc_upper,apc_pval,doubling_time
SC,South Carolina,Heroin alone,single_heroin,nhw,Non-Hispanic White,56,1.919074695950627,1.84,-6.6,-17.1,5.2,0.235,"-10.2 (-3.7, 13.7)"
Shelby County (TN),Shelby County,Heroin alone,single_heroin,nhw,Non-Hispanic White,NA,NA,1.7,-39.7,-55.1,-18.9,0.002,"-1.4 (-0.9, -3.3)"
St. Louis city (MO),St. Louis city,Heroin alone,single_heroin,nhw,Non-Hispanic White,NA,NA,0.77,-64.8,-88.5,7.4,0.064,"-0.7 (-0.3, 9.7)"
St. Louis County (MO),St. Louis County,Heroin alone,single_heroin,nhw,Non-Hispanic White,NA,NA,0.6799999999999999,-49.3,-61.4,-33.3,0,"-1.0 (-0.7, -1.7)"
Suffolk County (MA),Suffolk County,Heroin alone,single_heroin,nhw,Non-Hispanic White,NA,NA,0.62,-25.1,-44,-0,0.05,"-2.4 (-1.2, Inf)"
Suffolk County (NY),Suffolk County,Heroin alone,single_heroin,nhw,Non-Hispanic White,13,1.4439919336069755,2.01,-29.1,-38.9,-17.6,0,"-2.0 (-1.4, -3.6)"
Tarrant County (TX),Tarrant County,Heroin alone,single_heroin,nhw,Non-Hispanic White,28,2.9263583986438086,4.1499999999999995,8.8,5.6,12,0,"8.2 (12.7, 6.1)"
TN,Tennessee,Heroin alone,single_heroin,nhw,Non-Hispanic White,77,1.5692970174456435,1.6600000000000001,-12,-23.9,1.7,0.078,"-5.4 (-2.5, 41.1)"
TX,Texas,Heroin alone,single_heroin,nhw,Non-Hispanic White,344,2.9530103556763407,2.86,8.6,7.6,9.5,0,"8.4 (9.5, 7.6)"
Union County (NJ),Union County,Heroin alone,single_heroin,nhw,Non-Hispanic White,NA,NA,0.3,-77.8,-96.1,27.8,0.084,"-0.5 (-0.2, 2.8)"
UT,Utah,Heroin alone,single_heroin,nhw,Non-Hispanic White,65,2.7063385718306288,2.67,-3,-40.2,57.4,0.894,"-22.8 (-1.3, 1.5)"
VA,Virginia,Heroin alone,single_heroin,nhw,Non-Hispanic White,56,1.1559787089652576,1.28,-24.7,-36.9,-10.3,0.004,"-2.4 (-1.5, -6.4)"
VT,Vermont,Heroin alone,single_heroin,nhw,Non-Hispanic White,NA,NA,0.49,-52.3,-76.6,-2.8,0.042,"-0.9 (-0.5, -24.4)"
WA,Washington,Heroin alone,single_heroin,nhw,Non-Hispanic White,148,2.685476668667506,2.63,7.6,2.9,12.6,0.004,"9.5 (24.2, 5.8)"
Wake County (NC),Wake County,Heroin alone,single_heroin,nhw,Non-Hispanic White,NA,NA,0.9500000000000001,-23,-46.4,10.6,0.145,"-2.7 (-1.1, 6.9)"
Wayne County (MI),Wayne County,Heroin alone,single_heroin,nhw,Non-Hispanic White,NA,NA,1.25,-42.4,-58.4,-20.3,0.002,"-1.3 (-0.8, -3.1)"
Westchester County (NY),Westchester County,Heroin alone,single_heroin,nhw,Non-Hispanic White,NA,NA,1.33,-32.4,-53,-2.9,0.036,"-1.8 (-0.9, -23.6)"
WI,Wisconsin,Heroin alone,single_heroin,nhw,Non-Hispanic White,81,1.8128462830030383,1.85,-28,-38.5,-15.8,0.001,"-2.1 (-1.4, -4.0)"
WV,West Virginia,Heroin alone,single_heroin,nhw,Non-Hispanic White,11,0.7668680129885718,0.8300000000000001,-41.6,-56.3,-22,0.001,"-1.3 (-0.8, -2.8)"
WY,Wyoming,Heroin alone,single_heroin,nhw,Non-Hispanic White,NA,NA,1.6,11.6,5.1,18.4,0.001,"6.3 (13.9, 4.1)"
Adams County (CO),Adams County,Heroin alone,single_heroin,total,Total,93,2.6416372043414276,3.17,8.2,5.5,11,0,"8.8 (12.9, 6.6)"
AK,Alaska,Heroin alone,single_heroin,total,Total,17,2.294171026927874,2.52,9.6,4.5,15.1,0.001,"7.6 (15.7, 4.9)"
AL,Alabama,Heroin alone,single_heroin,total,Total,73,1.6143938219873184,1.77,-1.8,-9.8,6.8,0.644,"-38.2 (-6.7, 10.5)"
Alameda County (CA),Alameda County,Heroin alone,single_heroin,total,Total,22,1.2646690057187182,0.98,31,17.2,46.4,0,"2.6 (4.4, 1.8)"
Allegheny County (PA),Allegheny County,Heroin alone,single_heroin,total,Total,12,1.004288025753484,0.71,-50.8,-68.1,-24.2,0.004,"-1.0 (-0.6, -2.5)"
AR,Arkansas,Heroin alone,single_heroin,total,Total,12,0.4288831018912322,0.45,16.8,11.7,22.2,0,"4.5 (6.3, 3.5)"
AZ,Arizona,Heroin alone,single_heroin,total,Total,215,3.0764546136894246,4.55,13.3,10.9,15.9,0,"5.6 (6.7, 4.7)"
Baltimore city (MD),Baltimore city,Heroin alone,single_heroin,total,Total,NA,NA,0.4,-65.5,-79.6,-41.6,0.001,"-0.7 (-0.4, -1.3)"
Baltimore County (MD),Baltimore County,Heroin alone,single_heroin,total,Total,NA,NA,0.25,-64.9,-84.1,-22.7,0.013,"-0.7 (-0.4, -2.7)"
Bexar County (TX),Bexar County,Heroin alone,single_heroin,total,Total,77,3.7930679539515033,3.7,2.9,-0.1,5.9,0.057,"24.2 (-692.8, 12.1)"
Bronx County (NY),Bronx County,Heroin alone,single_heroin,total,Total,25,1.6934331876344075,1.58,-22.9,-34.8,-9,0.004,"-2.7 (-1.6, -7.3)"
Broward County (FL),Broward County,Heroin alone,single_heroin,total,Total,16,0.8692468587827308,0.71,-35.3,-53.2,-10.6,0.013,"-1.6 (-0.9, -6.2)"
CA,California,Heroin alone,single_heroin,total,Total,633,1.5318246280084706,1.54,11.4,8.5,14.4,0,"6.4 (8.5, 5.2)"
Charleston County (SC),Charleston County,Heroin alone,single_heroin,total,Total,NA,NA,1.02,-36,-61.1,5.3,0.076,"-1.6 (-0.7, 13.4)"
Clark County (NV),Clark County,Heroin alone,single_heroin,total,Total,66,2.815209243638073,3.09,12.1,7.1,17.4,0,"6.1 (10.1, 4.3)"
CO,Colorado,Heroin alone,single_heroin,total,Total,178,2.9120692040481475,3.01,-2.5,-15.4,12.4,0.709,"-27.4 (-4.1, 5.9)"
Cobb County (GA),Cobb County,Heroin alone,single_heroin,total,Total,16,2.240493729558851,2.3899999999999997,-4.5,-11.3,2.8,0.201,"-15.1 (-5.8, 25.1)"
Contra Costa County (CA),Contra Costa County,Heroin alone,single_heroin,total,Total,12,0.9994301999858328,1.02,7.4,3.9,11,0,"9.7 (18.1, 6.6)"
Cook County (IL),Cook County,Heroin alone,single_heroin,total,Total,109,2.015927584654154,1.79,-39.9,-48.6,-29.7,0,"-1.4 (-1.0, -2.0)"
CT,Connecticut,Heroin alone,single_heroin,total,Total,39,1.0992658397708885,1.1300000000000001,-39.6,-48.6,-29,0,"-1.4 (-1.0, -2.0)"
Cumberland County (NC),Cumberland County,Heroin alone,single_heroin,total,Total,NA,NA,3.8299999999999996,13,7.3,19,0,"5.7 (9.8, 4.0)"
Cuyahoga County (OH),Cuyahoga County,Heroin alone,single_heroin,total,Total,NA,NA,0.32,-61.5,-77.6,-33.7,0.003,"-0.7 (-0.5, -1.7)"
Dallas County (TX),Dallas County,Heroin alone,single_heroin,total,Total,91,3.3382097297022133,3.58,4.2,2.2,6.3,0,"16.8 (31.9, 11.3)"
Davidson County (TN),Davidson County,Heroin alone,single_heroin,total,Total,24,3.098527146583338,2.96,-23.7,-31.8,-14.7,0,"-2.6 (-1.8, -4.4)"
DC,District of Columbia,Heroin alone,single_heroin,total,Total,12,1.4743839505324674,1.44,-33.6,-50.4,-11.2,0.009,"-1.7 (-1.0, -5.8)"
DE,Delaware,Heroin alone,single_heroin,total,Total,NA,NA,0.91,-36.8,-49,-21.7,0,"-1.5 (-1.0, -2.8)"
DeKalb County (GA),DeKalb County,Heroin alone,single_heroin,total,Total,NA,NA,1.6700000000000002,-1.8,-23.7,26.5,0.884,"-38.2 (-2.6, 2.9)"
Delaware County (PA),Delaware County,Heroin alone,single_heroin,total,Total,NA,NA,0.61,-49.5,-74.5,0,0.05,"-1.0 (-0.5, Inf)"
District of Columbia (DC),District of Columbia,Heroin alone,single_heroin,total,Total,12,1.4743839505324674,1.44,-33.6,-50.4,-11.2,0.009,"-1.7 (-1.0, -5.8)"
Durham County (NC),Durham County,Heroin alone,single_heroin,total,Total,NA,NA,2.2800000000000002,5.1,-1.3,11.8,0.115,"13.9 (-53.0, 6.2)"
Duval County (FL),Duval County,Heroin alone,single_heroin,total,Total,NA,NA,0.31,-49.5,-77.5,13.6,0.09,"-1.0 (-0.5, 5.4)"
Erie County (NY),Erie County,Heroin alone,single_heroin,total,Total,NA,NA,0.9,-17.5,-26.2,-7.8,0.003,"-3.6 (-2.3, -8.5)"
Essex County (NJ),Essex County,Heroin alone,single_heroin,total,Total,12,1.365215421690293,1.11,-45.2,-68.6,-4.2,0.037,"-1.2 (-0.6, -16.2)"
Fairfax County (VA),Fairfax County,Heroin alone,single_heroin,total,Total,NA,NA,0.3,-43.8,-73.9,20.8,0.13,"-1.2 (-0.5, 3.7)"
FL,Florida,Heroin alone,single_heroin,total,Total,178,0.903401225590554,0.8500000000000001,-19,-27.8,-9.1,0.002,"-3.3 (-2.1, -7.3)"
Fort Bend County (TX),Fort Bend County,Heroin alone,single_heroin,total,Total,NA,NA,0.92,12.5,4.1,21.5,0.005,"5.9 (17.3, 3.6)"
Franklin County (OH),Franklin County,Heroin alone,single_heroin,total,Total,16,1.1917106513821871,1.01,-40.6,-50,-29.5,0,"-1.3 (-1.0, -2.0)"
Fulton County (GA),Fulton County,Heroin alone,single_heroin,total,Total,13,1.137705460490147,1.3,-23.2,-47.6,12.4,0.161,"-2.6 (-1.1, 5.9)"
GA,Georgia,Heroin alone,single_heroin,total,Total,139,1.3921511433413036,1.4,-3.7,-19.8,15.7,0.669,"-18.4 (-3.1, 4.8)"
Guilford County (NC),Guilford County,Heroin alone,single_heroin,total,Total,NA,NA,1.75,-18.9,-48.7,28.3,0.347,"-3.3 (-1.0, 2.8)"
Hamilton County (OH),Hamilton County,Heroin alone,single_heroin,total,Total,NA,NA,0.62,-58.2,-78,-20.4,0.012,"-0.8 (-0.5, -3.0)"
Harris County (TX),Harris County,Heroin alone,single_heroin,total,Total,112,2.333919294021907,2.36,16.5,13.2,19.9,0,"4.5 (5.6, 3.8)"
Hartford County (CT),Hartford County,Heroin alone,single_heroin,total,Total,NA,NA,1.03,-41.9,-55.3,-24.4,0.001,"-1.3 (-0.9, -2.5)"
Hennepin County (MN),Hennepin County,Heroin alone,single_heroin,total,Total,NA,NA,0.49,-48,-54.1,-41.1,0,"-1.1 (-0.9, -1.3)"
HI,Hawaii,Heroin alone,single_heroin,total,Total,13,0.8539047836309658,0.8500000000000001,7.8,4.3,11.5,0,"9.2 (16.5, 6.4)"
Hillsborough County (FL),Hillsborough County,Heroin alone,single_heroin,total,Total,22,1.4306160452881482,1.46,-12.2,-32.2,13.6,0.295,"-5.3 (-1.8, 5.4)"
IA,Iowa,Heroin alone,single_heroin,total,Total,11,0.38610578771709914,0.4,-33,-52.5,-5.3,0.026,"-1.7 (-0.9, -12.7)"
ID,Idaho,Heroin alone,single_heroin,total,Total,27,1.5911869621481223,1.58,10.3,-3.7,26.3,0.141,"7.1 (-18.4, 3.0)"
IL,Illinois,Heroin alone,single_heroin,total,Total,200,1.578737764858368,1.45,-40,-60,-10,0.019,"-1.4 (-0.8, -6.6)"
IN,Indiana,Heroin alone,single_heroin,total,Total,79,1.2134395447190063,1.26,-31.3,-46.5,-11.7,0.006,"-1.8 (-1.1, -5.6)"
Jackson County (MO),Jackson County,Heroin alone,single_heroin,total,Total,14,1.9949807370434023,2.14,-16.7,-36.5,9.4,0.174,"-3.8 (-1.5, 7.7)"
Jefferson County (AL),Jefferson County,Heroin alone,single_heroin,total,Total,34,5.308370359076681,6.39,-8.5,-18.1,2.1,0.104,"-7.8 (-3.5, 33.4)"
Jefferson County (KY),Jefferson County,Heroin alone,single_heroin,total,Total,NA,NA,1.47,-36.1,-48.2,-21.1,0,"-1.5 (-1.1, -2.9)"
Jefferson Parish (LA),Jefferson Parish,Heroin alone,single_heroin,total,Total,24,5.500869009315918,6.1499999999999995,-8.2,-18.9,3.8,0.159,"-8.1 (-3.3, 18.6)"
King County (WA),King County,Heroin alone,single_heroin,total,Total,24,0.9281868322219993,0.8200000000000001,33.3,-4.5,85.9,0.084,"2.4 (-15.1, 1.1)"
Kings County (NY),Kings County,Heroin alone,single_heroin,total,Total,23,0.8331069570188518,0.76,-24.7,-39.8,-5.9,0.016,"-2.4 (-1.4, -11.4)"
KS,Kansas,Heroin alone,single_heroin,total,Total,34,1.271707201081021,1.36,19,14.5,23.8,0,"4.0 (5.1, 3.2)"
KY,Kentucky,Heroin alone,single_heroin,total,Total,23,0.5573948880717343,0.52,-51,-60.9,-38.6,0,"-1.0 (-0.7, -1.4)"
LA,Louisiana,Heroin alone,single_heroin,total,Total,96,2.178867807742416,2.48,2.5,-3.4,8.8,0.382,"28.1 (-20.0, 8.2)"
Lake County (IN),Lake County,Heroin alone,single_heroin,total,Total,NA,NA,1.43,-42.2,-70,11.3,0.095,"-1.3 (-0.6, 6.5)"
Los Angeles County (CA),Los Angeles County,Heroin alone,single_heroin,total,Total,134,1.2531825424578849,1.25,25.8,8.4,45.9,0.005,"3.0 (8.6, 1.8)"
MA,Massachusetts,Heroin alone,single_heroin,total,Total,15,0.1857440964072896,0.28,-47.5,-62,-27.6,0.001,"-1.1 (-0.7, -2.1)"
Maricopa County (AZ),Maricopa County,Heroin alone,single_heroin,total,Total,123,2.7550152324603365,3.18,-8.7,-22,6.8,0.225,"-7.6 (-2.8, 10.5)"
Marion County (IN),Marion County,Heroin alone,single_heroin,total,Total,23,2.2562017195419317,3.82,6,1.2,11.1,0.016,"11.9 (58.1, 6.6)"
MD,Maryland,Heroin alone,single_heroin,total,Total,17,0.26400876796156725,0.26,-62.2,-74.7,-43.5,0,"-0.7 (-0.5, -1.2)"
ME,Maine,Heroin alone,single_heroin,total,Total,NA,NA,0.53,-29.8,-53.3,5.3,0.083,"-2.0 (-0.9, 13.4)"
Mecklenburg County (NC),Mecklenburg County,Heroin alone,single_heroin,total,Total,17,1.4396369941173734,1.35,-13,-25.2,1.3,0.07,"-5.0 (-2.4, 53.7)"
MI,Michigan,Heroin alone,single_heroin,total,Total,65,0.6805630785947537,0.92,-33.6,-46,-18.3,0.001,"-1.7 (-1.1, -3.4)"
Miami-Dade County (FL),Miami-Dade County,Heroin alone,single_heroin,total,Total,NA,NA,0.59,-3,-6.4,0.5,0.087,"-22.8 (-10.5, 139.0)"
Milwaukee County (WI),Milwaukee County,Heroin alone,single_heroin,total,Total,47,5.321344086815466,4.81,-20.5,-33,-5.8,0.011,"-3.0 (-1.7, -11.6)"
MN,Minnesota,Heroin alone,single_heroin,total,Total,22,0.4259669623607684,0.38,-42.8,-58.6,-21.1,0.003,"-1.2 (-0.8, -2.9)"
MO,Missouri,Heroin alone,single_heroin,total,Total,50,0.8539879277501765,0.7,-44.9,-60.7,-22.9,0.003,"-1.2 (-0.7, -2.7)"
Monroe County (NY),Monroe County,Heroin alone,single_heroin,total,Total,NA,NA,0.46,-45.4,-63.4,-18.6,0.005,"-1.1 (-0.7, -3.4)"
Montgomery County (MD),Montgomery County,Heroin alone,single_heroin,total,Total,NA,NA,0.32,-43.4,-60,-19.9,0.003,"-1.2 (-0.8, -3.1)"
Montgomery County (OH),Montgomery County,Heroin alone,single_heroin,total,Total,NA,NA,0.39,-59.7,-77.5,-27.6,0.005,"-0.8 (-0.5, -2.1)"
MS,Mississippi,Heroin alone,single_heroin,total,Total,34,1.2726394627563953,1.06,5.7,-10.2,24.4,0.476,"12.5 (-6.4, 3.2)"
MT,Montana,Heroin alone,single_heroin,total,Total,20,2.1894818680209003,2.4699999999999998,73.2,40.2,113.9,0,"1.3 (2.1, 0.9)"
Nassau County (NY),Nassau County,Heroin alone,single_heroin,total,Total,NA,NA,0.8700000000000001,-35.5,-47.1,-21.3,0,"-1.6 (-1.1, -2.9)"
NC,North Carolina,Heroin alone,single_heroin,total,Total,168,1.6969008119896993,1.6,-15.6,-23,-7.4,0.002,"-4.1 (-2.7, -9.0)"
NE,Nebraska,Heroin alone,single_heroin,total,Total,NA,NA,0.42000000000000004,23.5,11.9,36.3,0,"3.3 (6.2, 2.2)"
New Castle County (DE),New Castle County,Heroin alone,single_heroin,total,Total,NA,NA,1.46,-25,-40.9,-4.9,0.021,"-2.4 (-1.3, -13.8)"
New Haven County (CT),New Haven County,Heroin alone,single_heroin,total,Total,13,1.5467760459008728,2.02,-30.2,-39.2,-20,0,"-1.9 (-1.4, -3.1)"
New York County (NY),New York County,Heroin alone,single_heroin,total,Total,15,0.8485727886482837,0.65,-29.2,-47.3,-4.9,0.025,"-2.0 (-1.1, -13.8)"
NH,New Hampshire,Heroin alone,single_heroin,total,Total,NA,NA,0.12000000000000001,-53.1,-66.1,-35.1,0,"-0.9 (-0.6, -1.6)"
NJ,New Jersey,Heroin alone,single_heroin,total,Total,68,0.7418566881499574,0.8,-47.5,-66.8,-17,0.01,"-1.1 (-0.6, -3.7)"
NM,New Mexico,Heroin alone,single_heroin,total,Total,104,5.459557488096154,6.33,9.3,6.5,12.3,0,"7.8 (11.0, 6.0)"
Norfolk city (VA),Norfolk city,Heroin alone,single_heroin,total,Total,NA,NA,3.1,1,-5.5,7.9,0.76,"69.7 (-12.3, 9.1)"
NV,Nevada,Heroin alone,single_heroin,total,Total,95,3.0407542029526042,3.2800000000000002,14,9.3,18.9,0,"5.3 (7.8, 4.0)"
NY,New York,Heroin alone,single_heroin,total,Total,162,0.8175361847635283,0.8500000000000001,-30.3,-41.3,-17.3,0,"-1.9 (-1.3, -3.6)"
Oakland County (MI),Oakland County,Heroin alone,single_heroin,total,Total,NA,NA,0.28,-24.7,-41.8,-2.7,0.032,"-2.4 (-1.3, -25.3)"
OH,Ohio,Heroin alone,single_heroin,total,Total,77,0.7283035199664301,0.54,-55.1,-65.3,-41.8,0,"-0.9 (-0.7, -1.3)"
OK,Oklahoma,Heroin alone,single_heroin,total,Total,57,1.5612913049396837,1.93,23.5,19.1,28,0,"3.3 (4.0, 2.8)"
Oklahoma County (OK),Oklahoma County,Heroin alone,single_heroin,total,Total,12,1.3296809338241875,2.01,14.6,10.2,19.2,0,"5.1 (7.1, 3.9)"
OR,Oregon,Heroin alone,single_heroin,total,Total,94,2.17184805882045,2.34,-1,-4.1,2.1,0.48,"-69.0 (-16.6, 33.4)"
Orange County (FL),Orange County,Heroin alone,single_heroin,total,Total,11,0.7564591954614892,0.6799999999999999,-34.3,-46.6,-19.1,0.001,"-1.7 (-1.1, -3.3)"
Orleans Parish (LA),Orleans Parish,Heroin alone,single_heroin,total,Total,NA,NA,2.4499999999999997,-14.4,-23.2,-4.5,0.01,"-4.5 (-2.6, -15.1)"
PA,Pennsylvania,Heroin alone,single_heroin,total,Total,64,0.5082248767283969,0.5700000000000001,-39.6,-49.7,-27.4,0,"-1.4 (-1.0, -2.2)"
Palm Beach County (FL),Palm Beach County,Heroin alone,single_heroin,total,Total,NA,NA,0.8700000000000001,-34.2,-44.7,-21.6,0,"-1.7 (-1.2, -2.8)"
Philadelphia County (PA),Philadelphia County,Heroin alone,single_heroin,total,Total,13,0.8117148671307706,1.05,9.5,3.2,16.2,0.005,"7.6 (22.0, 4.6)"
Queens County (NY),Queens County,Heroin alone,single_heroin,total,Total,13,0.5323752763381854,0.8500000000000001,-12.2,-24.8,2.5,0.094,"-5.3 (-2.4, 28.1)"
RI,Rhode Island,Heroin alone,single_heroin,total,Total,NA,NA,0.42000000000000004,-32.1,-39.1,-24.3,0,"-1.8 (-1.4, -2.5)"
Riverside County (CA),Riverside County,Heroin alone,single_heroin,total,Total,66,2.6343505826332994,2.64,5.7,3.8,7.7,0,"12.5 (18.6, 9.3)"
Sacramento County (CA),Sacramento County,Heroin alone,single_heroin,total,Total,22,1.3159766966144524,1.1600000000000001,12.5,8.8,16.3,0,"5.9 (8.2, 4.6)"
San Bernardino County (CA),San Bernardino County,Heroin alone,single_heroin,total,Total,26,1.1212208843953486,1.45,15.1,10.7,19.7,0,"4.9 (6.8, 3.9)"
San Diego County (CA),San Diego County,Heroin alone,single_heroin,total,Total,79,2.2721592256823233,2.24,22.8,-0.1,51,0.051,"3.4 (-692.8, 1.7)"
SC,South Carolina,Heroin alone,single_heroin,total,Total,65,1.3822336643388518,1.34,-5,-18.3,10.5,0.474,"-13.5 (-3.4, 6.9)"
Shelby County (TN),Shelby County,Heroin alone,single_heroin,total,Total,NA,NA,0.9400000000000001,-37,-49.5,-21.5,0,"-1.5 (-1.0, -2.9)"
St. Louis city (MO),St. Louis city,Heroin alone,single_heroin,total,Total,NA,NA,0.71,-67.1,-84.2,-31.8,0.005,"-0.6 (-0.4, -1.8)"
St. Louis County (MO),St. Louis County,Heroin alone,single_heroin,total,Total,NA,NA,0.4,-62.2,-81.2,-24.3,0.01,"-0.7 (-0.4, -2.5)"
Suffolk County (MA),Suffolk County,Heroin alone,single_heroin,total,Total,NA,NA,0.31,-32.8,-55,0.4,0.052,"-1.7 (-0.9, 173.6)"
Suffolk County (NY),Suffolk County,Heroin alone,single_heroin,total,Total,18,1.2282520350776616,1.44,-29.2,-38.3,-18.7,0,"-2.0 (-1.4, -3.3)"
Tarrant County (TX),Tarrant County,Heroin alone,single_heroin,total,Total,38,1.8085424544496682,2.48,7.8,5.1,10.6,0,"9.2 (13.9, 6.9)"
TN,Tennessee,Heroin alone,single_heroin,total,Total,90,1.3539119388795748,1.42,-13.4,-23.5,-2,0.026,"-4.8 (-2.6, -34.3)"
TX,Texas,Heroin alone,single_heroin,total,Total,578,1.9884987703741126,1.96,6.8,6.1,7.6,0,"10.5 (11.7, 9.5)"
Union County (NJ),Union County,Heroin alone,single_heroin,total,Total,NA,NA,0.21000000000000002,-74.6,-95.7,49.2,0.115,"-0.5 (-0.2, 1.7)"
UT,Utah,Heroin alone,single_heroin,total,Total,73,2.4193665672201656,2.44,-4.3,-40.9,55.2,0.849,"-15.8 (-1.3, 1.6)"
VA,Virginia,Heroin alone,single_heroin,total,Total,91,1.0863983980379048,1.12,-21,-29,-12,0,"-2.9 (-2.0, -5.4)"
VT,Vermont,Heroin alone,single_heroin,total,Total,NA,NA,0.41000000000000003,-56.6,-75.1,-24.2,0.007,"-0.8 (-0.5, -2.5)"
WA,Washington,Heroin alone,single_heroin,total,Total,175,2.1899140036437843,2.16,7,2,12.3,0.011,"10.2 (35.0, 6.0)"
Wake County (NC),Wake County,Heroin alone,single_heroin,total,Total,NA,NA,0.74,-21,-42.7,8.9,0.139,"-2.9 (-1.2, 8.1)"
Wayne County (MI),Wayne County,Heroin alone,single_heroin,total,Total,19,1.006859522259094,1.28,-36.5,-52.7,-14.8,0.005,"-1.5 (-0.9, -4.3)"
Westchester County (NY),Westchester County,Heroin alone,single_heroin,total,Total,NA,NA,0.8600000000000001,-38.7,-64.5,5.9,0.076,"-1.4 (-0.7, 12.1)"
WI,Wisconsin,Heroin alone,single_heroin,total,Total,104,1.9282513799582517,1.9,-25.7,-35.7,-14.1,0.001,"-2.3 (-1.6, -4.6)"
WV,West Virginia,Heroin alone,single_heroin,total,Total,12,0.7486768250548161,0.76,-43,-57.3,-24,0.001,"-1.2 (-0.8, -2.5)"
WY,Wyoming,Heroin alone,single_heroin,total,Total,NA,NA,1.34,11.4,5.5,17.6,0.001,"6.4 (12.9, 4.3)"
Adams County (CO),Adams County,Natural opioid alone,single_natural,nhb,Non-Hispanic Black,NA,NA,4.28,3.7,-2.1,9.9,0.204,"19.1 (-32.7, 7.3)"
AL,Alabama,Natural opioid alone,single_natural,nhb,Non-Hispanic Black,NA,NA,0.81,8.3,4,12.8,0.001,"8.7 (17.7, 5.8)"
Alameda County (CA),Alameda County,Natural opioid alone,single_natural,nhb,Non-Hispanic Black,NA,NA,3.6,4.5,0.1,9,0.046,"15.7 (693.5, 8.0)"
Allegheny County (PA),Allegheny County,Natural opioid alone,single_natural,nhb,Non-Hispanic Black,NA,NA,3.72,-0.9,-6.2,4.8,0.75,"-76.7 (-10.8, 14.8)"
AR,Arkansas,Natural opioid alone,single_natural,nhb,Non-Hispanic Black,NA,NA,1.6300000000000001,8,2.8,13.5,0.004,"9.0 (25.1, 5.5)"
AZ,Arizona,Natural opioid alone,single_natural,nhb,Non-Hispanic Black,NA,NA,2.55,-1.6,-4.8,1.7,0.315,"-43.0 (-14.1, 41.1)"
Baltimore city (MD),Baltimore city,Natural opioid alone,single_natural,nhb,Non-Hispanic Black,NA,NA,1.44,-29.5,-50.7,0.8,0.055,"-2.0 (-1.0, 87.0)"
Baltimore County (MD),Baltimore County,Natural opioid alone,single_natural,nhb,Non-Hispanic Black,NA,NA,1.74,-1.5,-7.8,5.2,0.641,"-45.9 (-8.5, 13.7)"
Bronx County (NY),Bronx County,Natural opioid alone,single_natural,nhb,Non-Hispanic Black,NA,NA,1.27,5.4,0.1,11.1,0.048,"13.2 (693.5, 6.6)"
Broward County (FL),Broward County,Natural opioid alone,single_natural,nhb,Non-Hispanic Black,NA,NA,0.12000000000000001,-23.9,-35.3,-10.4,0.003,"-2.5 (-1.6, -6.3)"
CA,California,Natural opioid alone,single_natural,nhb,Non-Hispanic Black,45,1.742941509810146,1.8,0.2,-1.7,2.1,0.821,"346.9 (-40.4, 33.4)"
Clark County (NV),Clark County,Natural opioid alone,single_natural,nhb,Non-Hispanic Black,NA,NA,3.7,-10.1,-18.8,-0.4,0.043,"-6.5 (-3.3, -172.9)"
CO,Colorado,Natural opioid alone,single_natural,nhb,Non-Hispanic Black,NA,NA,3.34,3.2,-1.5,8.1,0.171,"22.0 (-45.9, 8.9)"
Contra Costa County (CA),Contra Costa County,Natural opioid alone,single_natural,nhb,Non-Hispanic Black,NA,NA,2.98,3.9,-4.5,13,0.356,"18.1 (-15.1, 5.7)"
Cook County (IL),Cook County,Natural opioid alone,single_natural,nhb,Non-Hispanic Black,32,2.4917507335564917,2.01,20.3,14.1,26.8,0,"3.8 (5.3, 2.9)"
CT,Connecticut,Natural opioid alone,single_natural,nhb,Non-Hispanic Black,11,2.8667979763542855,3.12,75.3,31,134.6,0.002,"1.2 (2.6, 0.8)"
Cumberland County (NC),Cumberland County,Natural opioid alone,single_natural,nhb,Non-Hispanic Black,NA,NA,2.8299999999999996,15.2,7.9,23,0,"4.9 (9.1, 3.3)"
Cuyahoga County (OH),Cuyahoga County,Natural opioid alone,single_natural,nhb,Non-Hispanic Black,NA,NA,1.2,-0.8,-4.2,2.8,0.657,"-86.3 (-16.2, 25.1)"
Dallas County (TX),Dallas County,Natural opioid alone,single_natural,nhb,Non-Hispanic Black,NA,NA,1.03,12.6,6,19.5,0.001,"5.8 (11.9, 3.9)"
Davidson County (TN),Davidson County,Natural opioid alone,single_natural,nhb,Non-Hispanic Black,NA,NA,2.9299999999999997,6.1,1.1,11.3,0.018,"11.7 (63.4, 6.5)"
DC,District of Columbia,Natural opioid alone,single_natural,nhb,Non-Hispanic Black,NA,NA,2.4499999999999997,1.5,-3.3,6.5,0.531,"46.6 (-20.7, 11.0)"
DE,Delaware,Natural opioid alone,single_natural,nhb,Non-Hispanic Black,NA,NA,1.55,4.5,-1.1,10.3,0.109,"15.7 (-62.7, 7.1)"
DeKalb County (GA),DeKalb County,Natural opioid alone,single_natural,nhb,Non-Hispanic Black,NA,NA,1.75,10.6,5.6,15.9,0,"6.9 (12.7, 4.7)"
District of Columbia (DC),District of Columbia,Natural opioid alone,single_natural,nhb,Non-Hispanic Black,NA,NA,2.4499999999999997,1.5,-3.3,6.5,0.531,"46.6 (-20.7, 11.0)"
